Comment,Designator,Footprint,LCSC,Quantity
113991054,U1,XIAO-ESP32C3-SMD,,1
RMCF0805JT4K70,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
CL21B105KAFNNNE,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RMCF0805JT4K70,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
CL21B104KBCNNNC,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
MSS1P3L-M3/89A,D1,D_MicroSMP_AK_MSS1P3L-M3_89A,,1
CL21B104KBCNNNC,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805FR-0730RL,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
GRM21BR61C106KE15K,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
GRM21BR61C106KE15K,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
CC0805JRNPO9BN471,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
150080GS75000,D2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,1
CL21B104KBCNNNC,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805FR-0782KL,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
CL21B104KBCNNNC,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
DNP 0805,,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,0
RC0805FR-07200KL,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RC0805FR-07698RL,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
PH1RA-03-UA,J2,PinHeader_1x03_P2.54mm_Horizontal,,1
S2B-PH-SM4-TB,J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,,1
LPS22HHTR,U2,ST_HLGA-10_LPS22HHTR,,1
LIS2HH12TR,U3,LGA-12_LIS2HH12TR,,1
TPS259621DDAR,U4,SOIC-8-TPS259631DDAR,,1
CL21B104KBCNNNC,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
RC0805FR-0743KL,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
RC0805FR-07200KL,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
