Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL21B105KAFNNNE,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.25,-108.06,180.0,bottom
C10,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.95,-111.75,0.0,bottom
C2,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.25,-105.9,180.0,bottom
C3,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.8,-107.45,0.0,bottom
C4,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.805476,-109.546,0.0,bottom
C5,CC0805JRNPO9BN471,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,103.8,-111.6,0.0,bottom
C6,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.95,-111.7,0.0,bottom
C8,GRM21BR61C106KE15K,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,110.75,-118.9,90.0,bottom
C9,CL21B104KBCNNNC,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.78,-125.45,180.0,bottom
D1,MSS1P3L-M3/89A,D_MicroSMP_AK_MSS1P3L-M3_89A,105.15,-124.33,90.0,bottom
D2,150080GS75000,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,117.2,-103.75,0.0,bottom
J1,S2B-PH-SM4-TB,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,110.4,-105.0,180.0,bottom
J2,PH1RA-03-UA,PinHeader_1x03_P2.54mm_Horizontal,110.54,-122.9,270.0,bottom
R1,RC0805FR-0730RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,117.2,-101.7,0.0,bottom
R2,RC0805FR-07200KL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.2,-118.7,90.0,bottom
R3,RC0805FR-07200KL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.2,-114.8,90.0,bottom
R4,RC0805FR-0743KL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.6,-115.95,0.0,bottom
R5,RC0805FR-0782KL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.6,-113.95,180.0,bottom
R6,RC0805FR-07698RL,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.2,-122.55,270.0,bottom
R7,RMCF0805JT4K70,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.85,-105.4,180.0,bottom
R8,RMCF0805JT4K70,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.85,-103.4,180.0,bottom
R9,DNP 0805,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.85,-101.4,180.0,bottom
U1,113991054,XIAO-ESP32C3-SMD,110.4825,-110.209,0.0,top
U2,LPS22HHTR,ST_HLGA-10_LPS22HHTR,117.85,-122.85,180.0,bottom
U3,LIS2HH12TR,LGA-12_LIS2HH12TR,115.2,-112.05,0.0,bottom
U4,TPS259621DDAR,SOIC-8-TPS259631DDAR,106.95,-116.8,270.0,bottom
